2020-08-15 11:24:56 install libvdpau1:armhf <none> 1.1.1-10
2020-08-15 11:24:56 status half-installed libvdpau1:armhf 1.1.1-10
2020-08-15 11:24:56 status unpacked libvdpau1:armhf 1.1.1-10
2020-08-15 11:24:56 install libavutil56:armhf <none> 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:24:56 status half-installed libavutil56:armhf 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:24:57 status unpacked libavutil56:armhf 7:4.1.6-1~deb10u1+rpt1
2020-08-15 11:24:57 install libpixman-1-0:armhf <none> 0.36.0-1+rpt1
2020-08-15 11:24:57 status half-installed libpixman-1-0:armhf 0.36.0-1+rpt1
2020-08-15 11:24:57 status unpacked libpixman-1-0:armhf 0.36.0-1+rpt1
2020-08-15 11:24:57 install libxcb-render0:armhf <none> 1.13.1-2
2020-08-15 11:24:57 status half-installed libxcb-render0:armhf 1.13.1-2
2020-08-15 11:24:57 status unpacked libxcb-render0:armhf 1.13.1-2
2020-08-15 11:24:59 install libxcb-shm0:armhf <none> 1.13.1-2
2020-08-15 11:24:59 status half-installed libxcb-shm0:armhf 1.13.1-2
2020-08-15 11:24:59 status unpacked libxcb-shm0:armhf 1.13.1-2
2020-08-15 11:24:59 install libxrender1:armhf <none> 1:0.9.10-1
2020-08-15 11:24:59 status half-installed libxrender1:armhf 1:0.9.10-1
2020-08-15 11:24:59 status unpacked libxrender1:armhf 1:0.9.10-1
2020-08-15 11:24:59 install libcairo2:armhf <none> 1.16.0-4+rpt1
2020-08-15 11:24:59 status half-installed libcairo2:armhf 1.16.0-4+rpt1
2020-08-15 11:24:59 status unpacked libcairo2:armhf 1.16.0-4+rpt1
2020-08-15 11:25:00 install libcodec2-0.8.1:armhf <none> 0.8.1-2
2020-08-15 11:25:00 status half-installed libcodec2-0.8.1:armhf 0.8.1-2
2020-08-15 11:25:00 status unpacked libcodec2-0.8.1:armhf 0.8.1-2
2020-08-15 11:25:00 install libgsm1:armhf <none> 1.0.18-2
2020-08-15 11:25:00 status half-installed libgsm1:armhf 1.0.18-2
2020-08-15 11:25:00 status unpacked libgsm1:armhf 1.0.18-2
2020-08-15 11:25:00 install libmp3lame0:armhf <none> 3.100-2+b1
2020-08-15 11:25:00 status half-installed libmp3lame0:armhf 3.100-2+b1
2020-08-15 11:25:00 status unpacked libmp3lame0:armhf 3.100-2+b1
2020-08-15 11:25:00 install libopenjp2-7:armhf <none> 2.3.0-2+deb10u1
